iter	Passed	Remaining
530	543	479
531	543	478
532	544	477
533	545	475
534	545	474
535	546	473
536	548	472
537	549	471
538	549	470
539	553	471
540	560	475
541	561	474
542	562	473
543	563	471
544	563	470
545	564	469
546	565	468
547	567	467
548	567	466
549	568	465
550	569	464
551	570	462
552	572	462
553	573	461
554	574	460
555	574	459
556	578	460
557	579	458
558	580	457
559	581	456
560	581	455
561	582	454
562	583	452
563	584	451
564	585	450
565	585	449
566	587	448
567	587	447
568	588	445
569	589	444
570	590	443
571	594	444
572	595	444
573	597	443
574	598	442
575	601	443
576	605	443
577	606	442
578	608	442
579	610	441
580	610	440
581	611	439
582	611	437
583	612	436
584	614	435
585	616	435
586	618	434
587	619	434
588	621	433
589	623	433
590	625	432
591	625	431
592	629	431
593	630	430
594	631	430
595	633	429
596	634	428
597	636	427
598	637	426
599	639	426
600	640	425
601	641	424
602	641	422
603	643	421
604	644	420
605	646	420
606	647	419
607	649	418
608	650	417
609	652	417
610	653	416
611	655	415
612	656	414
613	658	413
614	659	412
615	660	411
616	661	410
617	662	409
618	663	408
619	664	407
620	666	407
621	667	405
622	669	405
623	670	404
624	671	403
625	673	402
626	674	401
627	675	400
628	676	399
629	677	398
630	678	396
631	678	395
632	679	393
633	679	392
634	679	390
635	680	389
636	680	387
637	681	386
638	681	385
639	681	383
640	682	382
641	682	380
642	682	379
643	683	377
644	683	376
645	683	374
646	684	373
647	684	371
648	685	370
649	685	369
650	685	367
651	686	366
652	686	364
653	687	363
654	687	362
655	688	360
656	688	359
657	688	358
658	689	356
659	689	355
660	690	353
661	690	352
662	691	351
663	691	349
664	691	348
665	692	347
666	692	345
667	693	344
668	693	343
669	694	341
670	694	340
671	694	339
672	695	337
673	695	336
674	696	335
675	696	334
676	697	332
677	697	331
678	698	330
679	698	328
680	698	327
681	699	326
682	699	324
683	700	323
684	701	322
685	701	321
686	702	319
687	702	318
688	702	317
689	703	316
690	703	314
691	704	313
692	704	312
693	705	310
694	705	309
695	706	308
696	706	307
697	707	305
698	707	304
699	713	305
700	715	305
701	717	304
702	720	304
703	722	303
704	723	302
705	725	301
706	726	301
707	728	300
708	729	299
709	730	298
710	731	297
711	732	296
712	734	295
713	735	294
714	737	293
715	739	293
716	740	292
717	742	291
718	744	291
719	746	290
720	747	289
721	749	288
722	751	287
723	752	286
724	754	286
725	755	285
726	756	284
727	758	283
728	759	282
729	760	281
730	762	280
731	764	279
732	765	279
733	768	278
734	769	277
735	771	276
736	772	275
737	773	274
738	775	273
739	777	273
740	779	272
741	780	271
742	782	270
743	783	269
744	785	268
745	786	267
746	788	266
747	789	265
748	790	265
749	793	264
750	794	263
751	796	262
752	797	261
753	799	260
754	800	259
755	801	258
756	803	257
757	804	256
758	805	255
759	807	254
760	828	260
761	830	259
762	832	258
763	833	257
764	836	257
765	837	255
766	838	254
767	840	253
768	841	252
769	843	251
770	844	250
771	845	249
772	846	248
773	847	247
774	848	246
775	849	245
776	850	244
777	852	243
778	853	242
779	855	241
780	856	240
781	857	239
782	858	237
783	858	236
784	859	235
785	861	234
786	863	233
787	864	232
788	865	231
789	866	230
790	867	229
791	869	228
792	871	227
793	872	226
794	874	225
795	875	224
796	876	223
797	878	222
798	879	221
799	881	220
800	882	219
801	883	218
802	884	217
803	886	216
804	888	215
805	889	214
806	890	212
807	890	211
808	891	210
809	891	209
810	892	207
811	892	206
812	892	205
813	893	204
814	894	203
815	894	201
816	895	200
817	895	199
818	896	198
819	896	196
820	896	195
821	897	194
822	897	193
823	900	192
824	908	192
825	909	191
826	909	190
827	910	189
828	911	187
829	912	186
830	913	185
831	914	184
832	915	183
833	915	182
834	916	181
835	917	180
836	918	178
837	923	178
838	925	177
839	927	176
840	929	175
841	930	174
842	932	173
843	933	172
844	935	171
845	936	170
846	937	169
847	938	168
848	940	167
849	942	166
850	944	165
851	945	164
852	947	163
853	949	162
854	951	161
855	952	160
856	954	159
857	955	158
858	956	157
859	958	156
860	959	154
861	960	153
862	961	152
863	962	151
864	963	150
865	964	149
866	965	148
867	967	147
868	969	146
869	970	144
870	971	143
871	973	142
872	975	141
873	976	140
874	983	140
875	988	139
876	993	139
877	999	138
878	1002	137
879	1007	137
880	1009	136
881	1010	135
882	1017	134
883	1019	133
884	1021	132
885	1024	131
886	1025	130
887	1025	129
888	1026	128
889	1027	126
890	1028	125
891	1029	124
892	1029	123
893	1030	122
894	1031	120
895	1032	119
896	1032	118
897	1033	117
898	1036	116
899	1038	115
900	1039	114
901	1041	113
902	1043	112
903	1048	111
904	1050	110
905	1051	109
906	1052	107
907	1053	106
908	1055	105
909	1056	104
910	1057	103
911	1058	102
912	1059	100
913	1060	99
914	1062	98
915	1063	97
916	1065	96
917	1066	95
918	1068	94
919	1069	93
920	1071	91
921	1072	90
922	1073	89
923	1075	88
924	1076	87
925	1077	86
926	1078	84
927	1078	83
928	1080	82
929	1081	81
930	1082	80
931	1084	79
932	1085	77
933	1086	76
934	1087	75
935	1088	74
936	1089	73
937	1090	72
938	1092	70
939	1094	69
940	1095	68
941	1096	67
942	1098	66
943	1099	65
944	1100	64
945	1101	62
946	1103	61
947	1104	60
948	1106	59
949	1107	58
950	1108	57
951	1109	55
952	1110	54
953	1114	53
954	1115	52
955	1117	51
956	1117	50
957	1118	49
958	1119	47
959	1121	46
960	1122	45
961	1123	44
962	1125	43
963	1127	42
964	1127	40
965	1129	39
966	1130	38
967	1131	37
968	1132	36
969	1134	35
970	1135	33
971	1136	32
972	1138	31
973	1139	30
974	1140	29
975	1141	28
976	1143	26
977	1144	25
978	1145	24
979	1147	23
980	1148	22
981	1149	21
982	1152	19
983	1153	18
984	1154	17
985	1156	16
986	1158	15
987	1159	14
988	1161	12
989	1162	11
990	1164	10
991	1165	9
992	1166	8
993	1168	7
994	1169	5
995	1171	4
996	1172	3
997	1174	2
998	1175	1
999	1176	0
