iter	Logloss
0	0.6872508526
1	0.6820281029
2	0.6765235901
3	0.6716571331
4	0.6662642479
5	0.6624546051
6	0.6573687553
7	0.6526366711
8	0.6478181362
9	0.6428728104
10	0.6380595207
11	0.6326962471
12	0.6274642944
13	0.62213974
14	0.6170257568
15	0.6126682758
16	0.60794487
17	0.6032048702
18	0.5987288952
19	0.5936055183
20	0.5889070511
21	0.5844200134
22	0.5801949978
23	0.5751460552
24	0.5708669662
25	0.566307354
26	0.5617776871
27	0.5575577259
28	0.5539024353
29	0.549008131
30	0.5450973511
31	0.5416381836
32	0.5378149033
33	0.5329382896
34	0.5284423351
35	0.5240468025
36	0.5207795143
37	0.5178009987
38	0.5141088963
39	0.5103324413
40	0.5070825577
41	0.503255558
42	0.4992318153
43	0.495242691
44	0.4913687706
45	0.4874549866
46	0.483608532
47	0.4806756496
48	0.4772519112
49	0.4742455959
50	0.4709413528
51	0.4674689293
52	0.4637434959
53	0.460803318
54	0.4575192451
55	0.4538196564
56	0.4502593994
57	0.4466104507
58	0.4439482689
59	0.4413993835
60	0.4387310982
61	0.4347434521
62	0.4317918301
63	0.4291893005
64	0.4265306473
65	0.4236932755
66	0.4208259106
67	0.4186365128
68	0.414803648
69	0.412386179
70	0.4093545914
71	0.406455946
72	0.4040966988
73	0.4008301735
74	0.3977888107
75	0.3953873634
76	0.392032361
77	0.3898056269
78	0.3867263794
79	0.383731699
80	0.3807024002
81	0.3781344652
82	0.3754320145
83	0.3730354548
84	0.370053339
85	0.3680274963
86	0.3657013416
87	0.3626005173
88	0.3606679201
89	0.3586215019
90	0.3559646606
91	0.3533093929
92	0.3510686636
93	0.3488993645
94	0.3466414452
95	0.3441499233
96	0.3418122292
97	0.3393992901
98	0.336399889
99	0.3342759609
100	0.3320604324
101	0.3299856663
102	0.328060627
103	0.3261661291
104	0.3241730213
105	0.32186203
106	0.3197201729
107	0.3176493168
108	0.3150594711
109	0.3130468845
110	0.3108691931
111	0.3087721348
112	0.3070177555
113	0.3046674728
114	0.3028117418
115	0.3004931927
116	0.2984925747
117	0.2963558197
118	0.294438529
119	0.2926630974
120	0.2910756111
121	0.2888946056
122	0.2870110273
123	0.2853142262
124	0.2838622093
125	0.281772089
126	0.279913187
127	0.278732729
128	0.2773416519
129	0.2754083633
130	0.2736096144
131	0.271966362
132	0.2697942972
133	0.268266964
134	0.2669623852
135	0.2650163651
136	0.263424921
137	0.2611359358
138	0.2601736307
139	0.2588568687
140	0.2573914289
141	0.2557655334
142	0.2541986465
143	0.252477932
144	0.2510007381
145	0.24936378
146	0.2475604534
147	0.2459018469
148	0.2445546389
149	0.24295578
150	0.2414759874
151	0.2398046494
152	0.2386139393
153	0.2373219967
154	0.2358480692
155	0.2342222452
156	0.2330380201
157	0.2318366289
158	0.2304596186
159	0.2290343523
160	0.2277898312
161	0.2265164852
162	0.2251982212
163	0.2239284992
164	0.2227415323
165	0.2211969376
166	0.2196332693
167	0.2184807777
168	0.2169374228
169	0.2158457756
170	0.2144994259
171	0.2132405996
172	0.2117746592
173	0.2104856014
174	0.209005785
175	0.2080559254
176	0.2068224192
177	0.2059393883
178	0.2046719074
179	0.2035511017
180	0.2022971153
181	0.2010522842
182	0.1997333527
183	0.1986813068
184	0.1978271008
185	0.1968238235
186	0.1956278086
187	0.1944911361
188	0.1932167292
189	0.1919968963
190	0.1906544924
191	0.1897078276
192	0.1884546041
193	0.1872928381
194	0.1862868905
195	0.1853657961
196	0.1843553782
197	0.1835190296
198	0.1825712204
199	0.1816762328
200	0.1809780836
201	0.1799796581
202	0.1791227221
203	0.1781043053
204	0.1770661831
205	0.1760263443
206	0.1750798345
207	0.1741398454
208	0.1732099771
209	0.1723618031
